,dims,max
0,3,0.6688628199842658
1,13,0.6440034149216975
2,23,0.7165537981937228
3,33,0.7765122342422424
4,43,0.8055809110591725
5,53,0.8289750521407278
6,63,0.864796421244118
7,73,0.8757540503411148
8,83,0.8903224132254803
9,93,0.8911928582668316
10,103,0.9036647789070069
11,113,0.9161638323514303
12,123,0.9176808262062099
13,133,0.9271210111535779
14,143,0.9348968913060385
15,154,0.9443060044047398
16,164,0.9452742972567906
17,174,0.9508465485861886
18,184,0.9494841264108399
19,194,0.9557745759291494
20,204,0.9574148238299713
21,214,0.9615697212006478
22,224,0.9659192990037451
23,234,0.96751547129483
24,244,0.9696059845335877
25,254,0.9707946664514701
26,264,0.975406335824835
27,274,0.9729279461991294
28,284,0.9742571545152667
29,295,0.9770148805382166
30,305,0.9789038925376422
31,315,0.9790496783531089
32,325,0.979146824128921
33,335,0.9809550094163515
34,345,0.9823922681468915
35,355,0.9832463143503989
36,365,0.9833000148644147
37,375,0.9820903626548778
38,385,0.9843644098696648
39,395,0.9850501115946748
40,405,0.9870935245896932
41,415,0.9870190167918721
42,425,0.9861632437465142
43,436,0.9885468826544321
44,446,0.9886798874050141
45,456,0.9896856327215671
46,466,0.9904386321266878
47,476,0.9899671131354519
48,486,0.9912778716015157
49,496,0.9917780256104111
50,506,0.9921238039243079
51,516,0.9925238601209991
52,526,0.9909357851553124
53,536,0.9924822891036309
54,546,0.9936311735669188
55,556,0.9930032608189014
56,566,0.9934757518630428
57,577,0.9938218548749481
58,587,0.9938373559318956
59,597,0.9943464174891271
60,607,0.9950235902744443
61,617,0.994508598280675
62,627,0.9939369760412899
63,637,0.9958168130136063
64,647,0.9953332162095583
65,657,0.9954129092960751
66,667,0.9955881473133698
67,677,0.9957699913935659
68,687,0.9957387854152057
69,697,0.9958957984347384
70,707,0.9964605268264275
71,718,0.9957903172211179
72,728,0.996381533699328
73,738,0.9965281077620036
74,748,0.9967688390154541
75,758,0.9964743176496909
76,768,0.9964684878476634
77,778,0.9964944882979092
78,788,0.9964592654834667
79,798,0.9964947252441185
80,808,0.9972814684574867
81,818,0.9970296834245993
82,828,0.9972130454786848
83,838,0.9973197658250089
84,848,0.9974898119236475
85,859,0.9976627030522227
86,869,0.9976076701373887
87,879,0.9974232048075353
88,889,0.9980321590026282
89,899,0.9980309952530453
90,909,0.9975009675561598
91,919,0.9978912563203945
92,929,0.9979505181197916
93,939,0.9981825990269113
94,949,0.9983941691072376
95,959,0.9981455700483051
96,969,0.9983118142226919
97,979,0.9981300216214393
98,989,0.9983928255879246
99,1000,0.9985570892527409
